SeriesTitle,EpisodeTitle,Season,EpisodeTMSID,SeriesTMSID,,DisplayName,Licensee,AssetLanguage,Territory,TerritoryExclusion,WorkType,EntryType,SeriesTitleDisplayUnlimited,SeasonNumber,DistributionNumber,EpisodeNumber,LocalizationType,EpisodeTitleDisplayUnlimited,SeasonTitleInternalAlias,SeasonTitleDisplayUnlimited,EpisodeCount,SeasonCount,SeriesID,SeasonID,EpisodeTitleID,EpisodeID,SeriesAltID,SeasonAltID,EpisodeAltID,ALID,CompanyDisplayCredit,GroupIdentity,Director,LicenseType,LicenseRightsDescription,FormatProfile,HDR,WCG,HFR,NGAudio,Start,StartLag,End,EndLag,WindowDuration,SpecialPreOrderFulfillDate,PriceType,PriceValue,PriceCurrency,SRP,Description,Download,OtherTerms,OtherInstructions,SeriesContentID,SeasonContentID,EpisodeContentID,AvailID,UV_ID,DMA_ID,ReportingID,Metadata,SuppressionLiftDate,AnnounceDate,ReleaseYear,ReleaseHistoryOriginal,ReleaseHistoryPhysicalHV,ExceptionFlag,RatingSystem,RatingValue,RatingReason,RentalDuration,WatchDuration,FixedEndDate,CaptionIncluded,CaptionExemption,Any,ContractID,TitleStatus,Exclusive,ExclusiveAttributes,BrandingRights,BrandingRightsAttributes,ServiceProvider,TotalRunTime,HoldbackLanguage,AllowedLanguages,RequiredFulfillmentLanguages,RetailerEpisodeID1,RetailerEpisodeID2,RetailerSeasonID,RetailerSeriesID,RetailerSpare1,RetailerSpare2,RetailerSpare3,Notes
A Show About Anthem Lights,Famous,1,EP041638710001,SH041638710000,,pureflix,,,US,,episode,Full Extract,A Show About Anthem Lights,1,,4,,Famous,,,,,,,,,S_1983182915516_475934758818,S1_1983196227850_475934246525,S1_E4_1983719491897_476180518570,S1_E4_1983719491897_476180518570,,pureflixus1,,SVOD,SWP,,,,,,1/4/22,,1/11/27,,,,,,,,,,,,S_1983182915516_475934758818,S1_1983196227850_475934246525,S1_E4_1983719491897_476180518570,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,EP041638710001,,,SH041638710000,,,,
A Show About Anthem Lights,In the Beginning,1,EP041638710002,SH041638710000,,pureflix,,,US,,episode,Full Extract,A Show About Anthem Lights,1,,1,,In the Beginning,,,,,,,,,S_1983182915516_475934758818,S1_1983196227850_475934246525,S1_E1_1983719491888_476180518529,S1_E1_1983719491888_476180518529,,pureflixus1,,SVOD,SWP,,,,,,1/11/22,,1/11/27,,,,,,,,,,,,S_1983182915516_475934758818,S1_1983196227850_475934246525,S1_E1_1983719491888_476180518529,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,EP041638710002,,,SH041638710000,,,,
A Show About Anthem Lights,Oil of Algorithm,1,EP041638710003,SH041638710000,,pureflix,,,US,,episode,Full Extract,A Show About Anthem Lights,1,,2,,Oil of Algorithm,,,,,,,,,S_1983182915516_475934758818,S1_1983196227850_475934246525,S1_E2_1983719491892_476180518544,S1_E2_1983719491892_476180518544,,pureflixus1,,SVOD,SWP,,,,,,1/11/22,,1/11/27,,,,,,,,,,,,S_1983182915516_475934758818,S1_1983196227850_475934246525,S1_E2_1983719491892_476180518544,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,EP041638710003,,,SH041638710000,,,,
A Show About Anthem Lights,Comment Discontent,1,EP041638710004,SH041638710000,,pureflix,,,US,,episode,Full Extract,A Show About Anthem Lights,1,,3,,Comment Discontent,,,,,,,,,S_1983182915516_475934758818,S1_1983196227850_475934246525,S1_E3_1983719491894_476180518557,S1_E3_1983719491894_476180518557,,pureflixus1,,SVOD,SWP,,,,,,1/11/22,,1/11/27,,,,,,,,,,,,S_1983182915516_475934758818,S1_1983196227850_475934246525,S1_E3_1983719491894_476180518557,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,EP041638710004,,,SH041638710000,,,,
A Show About Anthem Lights,Fashion Baller,1,EP041638710005,SH041638710000,,pureflix,,,US,,episode,Full Extract,A Show About Anthem Lights,1,,5,,Fashion Baller,,,,,,,,,S_1983182915516_475934758818,S1_1983196227850_475934246525,S1_E5_1983719491905_476180518585,S1_E5_1983719491905_476180518585,,pureflixus1,,SVOD,SWP,,,,,,1/25/22,,1/11/27,,,,,,,,,,,,S_1983182915516_475934758818,S1_1983196227850_475934246525,S1_E5_1983719491905_476180518585,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,EP041638710005,,,SH041638710000,,,,
A Show About Anthem Lights,Chad's World,1,EP041638710006,SH041638710000,,pureflix,,,US,,episode,Full Extract,A Show About Anthem Lights,1,,6,,Chad's World,,,,,,,,,S_1983182915516_475934758818,S1_1983196227850_475934246525,S1_E6_1983719491908_476180518599,S1_E6_1983719491908_476180518599,,pureflixus1,,SVOD,SWP,,,,,,1/25/22,,1/11/27,,,,,,,,,,,,S_1983182915516_475934758818,S1_1983196227850_475934246525,S1_E6_1983719491908_476180518599,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,EP041638710006,,,SH041638710000,,,,
A Show About Anthem Lights,Acapella Apocalypse,1,EP041638710007,SH041638710000,,pureflix,,,US,,episode,Full Extract,A Show About Anthem Lights,1,,7,,Acapella Apocalypse,,,,,,,,,S_1983182915516_475934758818,S1_1983196227850_475934246525,S1_E7_1983719491909_476180518612,S1_E7_1983719491909_476180518612,,pureflixus1,,SVOD,SWP,,,,,,1/25/22,,1/11/27,,,,,,,,,,,,S_1983182915516_475934758818,S1_1983196227850_475934246525,S1_E7_1983719491909_476180518612,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,EP041638710007,,,SH041638710000,,,,
A Show About Anthem Lights,Flutey Influencer,1,EP041638710008,SH041638710000,,pureflix,,,US,,episode,Full Extract,A Show About Anthem Lights,1,,8,,Flutey Influencer,,,,,,,,,S_1983182915516_475934758818,S1_1983196227850_475934246525,S1_E8_1983719491910_476180518625,S1_E8_1983719491910_476180518625,,pureflixus1,,SVOD,SWP,,,,,,1/25/22,,1/11/27,,,,,,,,,,,,S_1983182915516_475934758818,S1_1983196227850_475934246525,S1_E8_1983719491910_476180518625,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,EP041638710008,,,SH041638710000,,,,
A Show About Anthem Lights,Band with a Brand,1,EP041638710009,SH041638710000,,pureflix,,,US,,episode,Full Extract,A Show About Anthem Lights,1,,9,,Band with a Brand,,,,,,,,,S_1983182915516_475934758818,S1_1983196227850_475934246525,S1_E9_1991445059912_478658086570,S1_E9_1991445059912_478658086570,,pureflixus1,,SVOD,SWP,,,,,,2/8/22,,1/11/27,,,,,,,,,,,,S_1983182915516_475934758818,S1_1983196227850_475934246525,S1_E9_1991445059912_478658086570,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,EP041638710009,,,SH041638710000,,,,
A Show About Anthem Lights,Food Fight,1,EP041638710010,SH041638710000,,pureflix,,,US,,episode,Full Extract,A Show About Anthem Lights,1,,10,,Food Fight,,,,,,,,,S_1983182915516_475934758818,S1_1983196227850_475934246525,S1_E10_1991445059914_478658086584,S1_E10_1991445059914_478658086584,,pureflixus1,,SVOD,SWP,,,,,,2/8/22,,1/11/27,,,,,,,,,,,,S_1983182915516_475934758818,S1_1983196227850_475934246525,S1_E10_1991445059914_478658086584,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,EP041638710010,,,SH041638710000,,,,
